,C++,Perl,C,Python,D,E,Standard ML,Java,Go,AppleScript,Elixir,Swift,C#,Scala,JavaScript,Clojure,Mathematica,Rust,Common Lisp,Scheme,PowerShell,Erlang,APL,PostScript,R,Prolog,Emacs Lisp,Groovy,Visual Basic,FORTRAN,Shell,Kotlin,Ada,ActionScript,Haskell,OCaml,F#,Elm,Visual Basic Script,Racket,Julia,PHP,Lua,Awk,Ruby,TypeScript,CoffeeScript
C++,1.0,0.37096775,0.8727273,0.6,0.8545455,0.6545454,0.3392857,0.8064516,0.5833333,0.5964912,0.3859649,0.59375,0.63076925,0.44642857,0.66071427,0.3272727,0.25,0.453125,0.4107143,0.42857143,0.46376812,0.31944445,0.21818182,0.30985916,0.26785713,0.34545454,0.34545454,0.36363637,0.35106382,0.13846155,0.45901638,0.61290324,0.41379312,0.5507246,0.27272728,0.375,0.34545454,0.23636363,0.30097088,0.42857143,0.5,0.69491524,0.63793105,0.625,0.47368422,0.5285714,0.375
Perl,0.37096775,1.0,0.4181818,0.45652175,0.4181818,0.4893617,0.4054054,0.36231884,0.43396226,0.46666667,0.35135135,0.390625,0.36619717,0.3846154,0.48,0.36585367,0.27027026,0.3469388,0.3809524,0.3488372,0.61538464,0.26666668,0.3243243,0.25,0.23684211,0.33333334,0.3809524,0.45945945,0.23333333,0.07936508,0.55813956,0.38709676,0.29411766,0.32876712,0.3783784,0.36585367,0.4054054,0.34210527,0.1919192,0.3488372,0.34375,0.4642857,0.42307693,0.44,0.36842105,0.3243243,0.3783784
C,0.8727273,0.4181818,1.0,0.6666667,0.9791667,0.7291667,0.38,0.7580645,0.6481481,0.68,0.42,0.6551724,0.625,0.48979592,0.6792453,0.33333334,0.2857143,0.50877196,0.41509435,0.43396226,0.46969697,0.35384616,0.25,0.34375,0.27450982,0.39583334,0.34615386,0.39583334,0.35164836,0.15384616,0.5185185,0.6785714,0.4181818,0.56060606,0.3125,0.34615386,0.35416666,0.27083334,0.3,0.43396226,0.5081967,0.71428573,0.6545454,0.6415094,0.52,0.53731346,0.42857143
Python,0.6,0.45652175,0.6666667,1.0,0.6666667,0.8974359,0.4864865,0.516129,0.62222224,0.8,0.55263156,0.5714286,0.52307695,0.6666667,0.6666667,0.47368422,0.39473686,0.509434,0.575,0.5365854,0.45614034,0.32258064,0.33333334,0.28125,0.31707317,0.46341464,0.5,0.5,0.3,0.18181819,0.5555556,0.6111111,0.4117647,0.5,0.41666666,0.425,0.4722222,0.3611111,0.25,0.5365854,0.5,0.627451,0.68085104,0.6511628,0.7,0.47058824,0.53846157
D,0.8545455,0.4181818,0.9791667,0.6666667,1.0,0.75,0.38,0.7741935,0.6666667,0.68,0.43137255,0.67241377,0.609375,0.48979592,0.6981132,0.33333334,0.2857143,0.5263158,0.41509435,0.43396226,0.46969697,0.34920636,0.25,0.33846155,0.27450982,0.41666666,0.34615386,0.39583334,0.36263737,0.16666667,0.537037,0.6964286,0.4181818,0.57575756,0.3125,0.34615386,0.35416666,0.27083334,0.3030303,0.43396226,0.5081967,0.6964286,0.6545454,0.6226415,0.52,0.5522388,0.42857143
E,0.6545454,0.4893617,0.7291667,0.8974359,0.75,1.0,0.45,0.58064514,0.6888889,0.80487806,0.5952381,0.6315789,0.5692308,0.61538464,0.75555557,0.45238096,0.35,0.5294118,0.55813956,0.52272725,0.5,0.37096775,0.30769232,0.328125,0.29545453,0.46153846,0.4651163,0.5641026,0.32222223,0.18461539,0.6304348,0.6666667,0.4,0.54545456,0.3846154,0.39534885,0.43589744,0.33333334,0.26262626,0.52272725,0.5,0.6862745,0.70212764,0.70454544,0.70731705,0.49253732,0.5
Standard ML,0.3392857,0.4054054,0.38,0.4864865,0.38,0.45,1.0,0.31746033,0.45652175,0.475,0.5833333,0.39285713,0.2923077,0.5277778,0.47727272,0.5882353,0.4074074,0.42857143,0.5882353,0.5,0.35849056,0.3,0.44444445,0.265625,0.3125,0.4864865,0.6764706,0.6666667,0.23333333,0.15873016,0.3488372,0.3888889,0.37254903,0.31343284,0.7407407,0.67741936,0.7777778,0.6666667,0.22222222,0.5,0.3559322,0.4117647,0.44680852,0.47619048,0.54545456,0.31343284,0.6333333
Java,0.8064516,0.36231884,0.7580645,0.516129,0.7741935,0.58064514,0.31746033,1.0,0.546875,0.53125,0.33846155,0.5633803,0.63380283,0.3809524,0.6451613,0.27419356,0.22222222,0.4225352,0.34920636,0.36507937,0.45333335,0.2857143,0.19354838,0.25,0.26984128,0.32258064,0.29032257,0.30645162,0.36,0.13636364,0.42647058,0.5797101,0.40625,0.5466667,0.24193548,0.33870968,0.29032257,0.20967741,0.29,0.36507937,0.4857143,0.64615387,0.609375,0.58064514,0.40625,0.5263158,0.33333334
Go,0.5833333,0.43396226,0.6481481,0.62222224,0.6666667,0.6888889,0.45652175,0.546875,1.0,0.6458333,0.40425533,0.76785713,0.47692308,0.51111114,0.7058824,0.3469388,0.3043478,0.6111111,0.46,0.42,0.47619048,0.3442623,0.26666668,0.2769231,0.27659574,0.41304347,0.38,0.4,0.36666667,0.18461539,0.4716981,0.74545455,0.49056605,0.54545456,0.33333334,0.33333334,0.35555556,0.2888889,0.28282827,0.42,0.5344828,0.6363636,0.6603774,0.66,0.5,0.5797101,0.4375
AppleScript,0.5964912,0.46666667,0.68,0.8,0.68,0.80487806,0.475,0.53125,0.6458333,1.0,0.58536583,0.5862069,0.5151515,0.525,0.7173913,0.3902439,0.35897437,0.5192308,0.5116279,0.47727272,0.5,0.4,0.31578946,0.3125,0.2857143,0.43589744,0.41860464,0.41025642,0.35555556,0.2,0.5813953,0.60714287,0.4509804,0.5147059,0.39473686,0.37209302,0.41025642,0.34210527,0.3131313,0.47727272,0.6,0.6603774,0.82608694,0.70454544,0.74358976,0.49275362,0.5121951
